STATION,NAME,DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USC00426869,"PINEVIEW DAM, UT US",2025,,375,375,93,51,87,19,6,168,27,148,32,-8,16,7,1.29,96,31,27,21,20,13,32,24,24,20,15,7017,7017,23.39,64.3,48.2,62.7,33.7,,,,
US1UTWB0003,"WEST WEBER 1.0 ESE, UT US",2022,,,,74,33,,,,,,,,,,,1.28,,,,,,,,,,,,,,12.2,,,,,,,,
US1UTWB0003,"WEST WEBER 1.0 ESE, UT US",2023,,,,112,58,,,,,,,,,,,0.93,,,,,,,,,,,,,,20.37,,,,,,,,
US1UTWB0003,"WEST WEBER 1.0 ESE, UT US",2024,,,,94,55,,,,,,,,,,,1.09,,,,,,,,,,,,,,18.93,,,,,,,,
US1UTWB0003,"WEST WEBER 1.0 ESE, UT US",2025,,,,74,38,,,,,,,,,,,2.83,,,,,,,,,,,,,,16.74,,,,,,,,
USC00421168,"CANYONLANDS THE NEEDLES, UT US",2022,,1395,1395,57,28,12,7,0,155,4,187,81,2,4,4.1,0.9,104,30,28,24,20,16,31,25,22,20,13,5069,5069,8.91,13,53.6,68.5,38.7,,,,
USC00421168,"CANYONLANDS THE NEEDLES, UT US",2023,,,,71,30,29,7,,,,,,,11,10.6,1.04,,,,,,,,,,,,5656,5656,8.51,28.5,,,,,,,
USC00421168,"CANYONLANDS THE NEEDLES, UT US",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00421168,"CANYONLANDS THE NEEDLES, UT US",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USS0011H08S,"BEN LOMOND PEAK, UT US",2022,,353,353,94,94,212,,3,192,78,87,0,-4,63,,3.3,88,24,24,24,20,15,32,28,23,20,13,8372,8372,45.98,,42.5,50.5,34.5,,,,
USS0011H08S,"BEN LOMOND PEAK, UT US",2023,,169,169,132,132,230,,2,168,86,54,0,-5,205,,4.5,85,30,20,20,20,14,32,28,22,18,13,8868,8868,79.15,,41.7,49.1,34.2,,,,
USS0011H08S,"BEN LOMOND PEAK, UT US",2024,,307,307,121,121,220,,0,174,67,86,0,5,124,,2.9,87,26,26,23,19,15,27,27,23,19,7,8096,8096,57.86,,44.1,51.7,36.6,,,,
USS0011H08S,"BEN LOMOND PEAK, UT US",2025,,269,269,97,97,186,,3,140,54,82,0,-4,95,,3.1,83,32,23,23,20,14,31,27,22,19,13,7651,7651,41.04,,45,52.1,37.9,,,,
US1UTWG0021,"IVINS 1.5 SE, UT US",2024,,,,50,19,,,,,,,,,,,1.52,,,,,,,,,,,,,,8.08,,,,,,,,
US1UTWG0021,"IVINS 1.5 SE, UT US",2025,,,,44,23,,,,,,,,,,,0.8,,,,,,,,,,,,,,7.26,,,,,,,,
